Module Title	Sci-Fi Term	Corporate Equivalent	Governance Lesson	Key Artifact	Core Skill/Capability	Source
The 201 Gap	The Teleporter Problem	Reliability Failure / Hallucination	When complex reality is turned into dashboard metrics, context is destroyed; signal verification is required.	Data Lineage Map	Context Assembly	1
The 201 Gap	The Jagged Frontier	Capability Boundary / Competence Limit	AI capability does not drop off smoothly; task performance can crash suddenly outside the frontier.	Not in source	Frontier Recognition	1
Framing the Relationship	HAL 9000	Black Box / Opaque System	If you wait until a crisis to ask for authority, you have already lost; mission-first architectures can remove humans.	The Premortem Charter	Quality Judgment	2
Framing the Relationship	JARVIS	Sociable System / Transparent Partner	The system should wrap around the human to enhance capacity without removing agency.	Stop Card / Pause Button	Workflow Integration	2
Unmasking the Liability Sponge	The Red Shirt	Liability Sponge / Scapegoat	Institutions use individuals to provide plausible deniability without giving them the power to change anything.	Refusal of Assignment Memo	Task Decomposition	3
Unmasking the Liability Sponge	Tricorder	Verification Tools / Evidence	The difference between a costume (uniform) and armour is information; data allows for safe retreat.	Audit Trail / Log	Iterative Refinement	3
You Are The Liability Sponge	The Asimov Constraint	Pre-Action Safety Control / Circuit Breaker	Ethical guidelines must be hard-coded into the system physics, not just suggestions, to handle silicon-speed risks.	Circuit Breaker Rule	Frontier Recognition	4
Escaping the Liability Sponge	The Lucas Cycle	Historical Data Integrity / Data Integrity Cycle	Wisdom must be hard-coded so it survives personnel turnover (Key Person Risk).	The Empty Field Test	Quality Judgment	5
Escaping the Liability Sponge	Seil	Persistence / Capacity Building	Strategic wisdom lies in strengthening connections and rehabilitating suppliers rather than immediate severance.	Graduation Certificate	Context Assembly	5
The Refusal Stack	The Refusal Stack	Defense-in-Depth Governance Architecture	Refusal is not a sticker or filter; it is a core engineering requirement for system stability.	Refusal Requirements Spec (RRS)	Quality Judgment	6
The Upside	The Mentat	Augmented Practitioner / Human-in-the-Loop 2.0	A human who learns to think like a machine while maintaining a soul can control outcomes previously impossible to answer.	Override Log	Creativity Multiplication	7